dummy_id,gene_id
470,AIFM1|9131
471,AIFM2|84883
472,AIFM3|150209
473,AIG1|51390
474,AIM1L|55057
475,AIM1|202
476,AIM2|9447
477,AIMP1|9255
478,AIMP2|7965
479,AIPL1|23746
480,AIP|9049
481,AIRE|326
482,AJAP1|55966
483,AK1|203
484,AK2|204
485,AK3L1|205
486,AK3|50808
487,AK5|26289
488,AK7|122481
489,AKAP10|11216
490,AKAP11|11215
491,AKAP12|9590
492,AKAP13|11214
493,AKAP14|158798
494,AKAP1|8165
495,AKAP2|11217
496,AKAP3|10566
497,AKAP4|8852
498,AKAP5|9495
499,AKAP6|9472
500,AKAP7|9465
501,AKAP8L|26993
502,AKAP8|10270
503,AKAP9|10142
504,AKD1|221264
505,AKIRIN1|79647
506,AKIRIN2|55122
507,AKNAD1|254268
508,AKNA|80709
509,AKR1A1|10327
510,AKR1B10|57016
511,AKR1B15|441282
512,AKR1B1|231
513,AKR1C1|1645
514,AKR1C2|1646
515,AKR1C3|8644
516,AKR1C4|1109
517,AKR1CL1|340811
518,AKR1D1|6718
519,AKR1E2|83592
520,AKR7A2|8574
521,AKR7A3|22977
522,AKR7L|246181
523,AKT1S1|84335
524,AKT1|207
525,AKT2|208
526,AKT3|10000
527,AKTIP|64400
528,ALAD|210
529,ALAS1|211
530,ALAS2|212
531,ALB|213
532,ALCAM|214
533,ALDH16A1|126133
534,ALDH18A1|5832
535,ALDH1A1|216
536,ALDH1A2|8854
537,ALDH1A3|220
538,ALDH1B1|219
539,ALDH1L1|10840
540,ALDH1L2|160428
541,ALDH2|217
542,ALDH3A1|218
543,ALDH3A2|224
544,ALDH3B1|221
545,ALDH3B2|222
546,ALDH4A1|8659
547,ALDH5A1|7915
548,ALDH6A1|4329
549,ALDH7A1|501
550,ALDH8A1|64577
551,ALDH9A1|223
552,ALDOA|226
553,ALDOB|229
554,ALDOC|230
555,ALG10B|144245
556,ALG10|84920
557,ALG11|440138
558,ALG12|79087
559,ALG13|79868
560,ALG14|199857
561,ALG1L2|644974
562,ALG1L|200810
563,ALG1|56052
564,ALG2|85365
565,ALG3|10195
566,ALG5|29880
567,ALG6|29929
568,ALG8|79053
569,ALG9|79796
570,ALKBH1|8846
571,ALKBH2|121642
572,ALKBH3|221120
573,ALKBH4|54784
574,ALKBH5|54890
575,ALKBH6|84964
576,ALKBH7|84266
577,ALKBH8|91801
578,ALK|238
579,ALLC|55821
580,ALMS1P|200420
581,ALMS1|7840
582,ALOX12B|242
583,ALOX12P2|245
584,ALOX12|239
585,ALOX15B|247
586,ALOX15|246
587,ALOX5AP|241
588,ALOX5|240
589,ALOXE3|59344
590,ALPI|248
591,ALPK1|80216
592,ALPK2|115701
593,ALPK3|57538
594,ALPL|249
595,ALPPL2|251
596,ALPP|250
597,ALS2CL|259173
598,ALS2CR11|151254
599,ALS2CR12|130540
600,ALS2CR4|65062
601,ALS2CR8|79800
602,ALS2|57679
603,ALX1|8092
604,ALX3|257
605,ALX4|60529
606,AMAC1L2|83650
607,AMAC1L3|643664
608,AMAC1|146861
609,AMACR|23600
610,AMBN|258
611,AMBP|259
612,AMBRA1|55626
613,AMD1|262
614,AMDHD1|144193
615,AMDHD2|51005
616,AMELX|265
617,AMELY|266
618,AMFR|267
619,AMHR2|269
620,AMH|268
621,AMICA1|120425
622,AMIGO1|57463
623,AMIGO2|347902
624,AMIGO3|386724
625,AMMECR1L|83607
626,AMMECR1|9949
627,AMN1|196394
628,AMN|81693
629,AMOTL1|154810
630,AMOTL2|51421
631,AMOT|154796
632,AMPD1|270
633,AMPD2|271
634,AMPD3|272
635,AMPH|273
636,AMTN|401138
637,AMT|275
638,AMY1A|276
639,AMY2A|279
640,AMY2B|280
641,AMZ1|155185
642,AMZ2P1|201283
643,AMZ2|51321
644,ANAPC10|10393
645,ANAPC11|51529
646,ANAPC13|25847
647,ANAPC16|119504
648,ANAPC1|64682
649,ANAPC2|29882
650,ANAPC4|29945
651,ANAPC5|51433
652,ANAPC7|51434
653,ANGEL1|23357
654,ANGEL2|90806
655,ANGPT1|284
656,ANGPT2|285
657,ANGPT4|51378
658,ANGPTL1|9068
659,ANGPTL2|23452
660,ANGPTL3|27329
661,ANGPTL4|51129
662,ANGPTL5|253935
663,ANGPTL6|83854
664,ANGPTL7|10218
665,ANG|283
666,ANK1|286
667,ANK2|287
668,ANK3|288
669,ANKAR|150709
670,ANKDD1A|348094
671,ANKFN1|162282
672,ANKFY1|51479
673,ANKHD1-EIF4EBP3|404734
674,ANKHD1|54882
675,ANKH|56172
676,ANKIB1|54467
677,ANKK1|255239
678,ANKLE1|126549
679,ANKLE2|23141
680,ANKMY1|51281
681,ANKMY2|57037
682,ANKRA2|57763
683,ANKRD10|55608
684,ANKRD11|29123
685,ANKRD12|23253
686,ANKRD13A|88455
687,ANKRD13B|124930
688,ANKRD13C|81573
689,ANKRD13D|338692
690,ANKRD16|54522
691,ANKRD17|26057
692,ANKRD19|138649
693,ANKRD1|27063
694,ANKRD20A3|441425
695,ANKRD20A4|728747
696,ANKRD20B|729171
697,ANKRD22|118932
698,ANKRD23|200539
699,ANKRD24|170961
700,ANKRD26P1|124149
701,ANKRD26|22852
702,ANKRD27|84079
703,ANKRD28|23243
704,ANKRD29|147463
705,ANKRD2|26287
706,ANKRD30A|91074
707,ANKRD30B|374860
708,ANKRD31|256006
709,ANKRD32|84250
710,ANKRD33|341405
711,ANKRD34A|284615
712,ANKRD34B|340120
713,ANKRD34C|390616
714,ANKRD35|148741
715,ANKRD36BP1|84832
716,ANKRD36B|57730
717,ANKRD36|375248
718,ANKRD37|353322
719,ANKRD39|51239
720,ANKRD40|91369
721,ANKRD42|338699
722,ANKRD43|134548
723,ANKRD44|91526
724,ANKRD45|339416
725,ANKRD46|157567
726,ANKRD49|54851
727,ANKRD50|57182
728,ANKRD52|283373
729,ANKRD53|79998
730,ANKRD54|129138
731,ANKRD55|79722
732,ANKRD56|345079
733,ANKRD57|65124
734,ANKRD58|347454
735,ANKRD5|63926
736,ANKRD6|22881
737,ANKRD7|56311
738,ANKRD9|122416
739,ANKS1A|23294
740,ANKS1B|56899
741,ANKS3|124401
742,ANKS4B|257629
743,ANKS6|203286
744,ANKZF1|55139
745,ANLN|54443
746,ANO10|55129
747,ANO1|55107
748,ANO2|57101
749,ANO3|63982
750,ANO4|121601
751,ANO5|203859
752,ANO6|196527
753,ANO7|50636
754,ANO8|57719
755,ANO9|338440
756,ANP32A|8125
757,ANP32B|10541
758,ANP32C|23520
